gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
TNFRSF4,49.43421682238482,1.5187044346884795,0.3140203849675779,5.932765586168531e-9,7.74153558195162e-8,LSvsNL,up
SCNN1D,120.31072988120759,1.259992487240474,0.28292874298904724,3.913931207882281e-8,4.3200490698652123e-7,LSvsNL,up
PLCH2,290.1371375389856,-1.0380658156959208,0.19248767474722994,3.8382830470084833e-10,6.5189886671413925e-9,LSvsNL,down
LINC00337,6.396171569547366,1.2025524113037738,0.46639295725513,1.5663950938009415e-4,7.229821557025914e-4,LSvsNL,up
TNFRSF9,26.928186180941964,1.8286941981452238,0.4260755015769527,3.212598229387786e-8,3.61169108730308e-7,LSvsNL,up
AGMAT,13.057023119219776,1.3885944911788815,0.28998745321221026,3.275089391064745e-8,3.6773997545350446e-7,LSvsNL,up
MST1L,76.38375549935843,-1.0130889309966409,0.1918032616612986,1.2146397421575128e-9,1.8723980432072168e-8,LSvsNL,down
PLA2G2A,978.9221884991475,1.9114684379157667,0.4203413934621289,1.6348482692408388e-9,2.4515985175177952e-8,LSvsNL,up
PLA2G2D,3.3408026271452425,3.0908259859377614,1.1807633330346525,0.0017114730061528736,0.005845229812602473,LSvsNL,up
PLA2G2F,1400.6434330605398,1.3459152519955333,0.13061040404119414,8.014280433863924e-27,1.7997501369380837e-24,LSvsNL,up
UBXN10,80.75235480665613,-1.0404485102834278,0.24465096603142053,7.006282620151642e-7,5.698987957345887e-6,LSvsNL,down
FAM43B,9.104731941259923,1.9121028839265024,0.3594222949896356,3.2769157429012117e-10,5.693132508440596e-9,LSvsNL,up
SH2D5,15.464159387437572,5.274959359575201,0.9032481990935125,4.6394540036208035e-14,1.6612533135012287e-12,LSvsNL,up
ALPL,56.573167250930375,1.7449433335868838,0.36905234604061254,5.170384000073692e-9,6.869925855466798e-8,LSvsNL,up
C1QB,557.6188437029535,1.0570402956027762,0.3028419310586483,9.186149412892753e-6,5.763920587116909e-5,LSvsNL,up
EPHB2,50.42612213816561,1.3453608294040422,0.3802023141652625,3.3902674134434423e-6,2.380122124682988e-5,LSvsNL,up
TEX46,3.2078374720422094,-1.0422946938132271,0.4671956230160944,0.0013141113019667326,0.004635191891172168,LSvsNL,down
AUNIP,56.34703100774287,1.613923405793769,0.2714593478563241,1.854012331391722e-11,4.0631908804837863e-10,LSvsNL,up
SFN,18901.5989764206,1.052117216590684,0.09761272989052852,3.280553532472783e-28,8.775480699364694e-26,LSvsNL,up
CD164L2,432.3995713468354,1.0893884207007167,0.17314942628425095,8.7180542621052e-12,2.0330949618935075e-10,LSvsNL,up
IFI6,378.9926594862422,1.8268009820647255,0.27046447615285996,3.5763290503955006e-15,1.5828084045424369e-13,LSvsNL,up
SNORA73B,11.829325457221637,1.081803830935754,0.3006063575068772,1.225404321634139e-5,7.484924315152783e-5,LSvsNL,up
LCK,221.0752210567419,1.550309830032185,0.3210940483440339,2.3807009782764845e-9,3.436900856734068e-8,LSvsNL,up
GJA4,85.41300512932267,1.3701944178683887,0.29725210778359346,3.0268699475428117e-8,3.417676247411778e-7,LSvsNL,up
ZC3H12A,1168.0081032259386,1.1782770551440056,0.18555447730538388,4.56546854274233e-12,1.1237601189781188e-10,LSvsNL,up
MIR3659,1.6551079250504561,-1.5254891832295072,0.7784554392764405,0.0023365788070256912,0.0076237432286631966,LSvsNL,down
LINC01343,4.3885331636592015,1.231817026526464,0.3928461726523791,5.222354849748766e-5,2.726596863287315e-4,LSvsNL,up
RIMS3,123.52460639016992,1.0551910847708414,0.20304533170037095,4.642069021662294e-9,6.23167789697691e-8,LSvsNL,up
CFAP57,38.584702443832285,-1.1051856132010693,0.3031343671873524,1.8813056190814063e-6,1.3871483263514706e-5,LSvsNL,down
CDC20,1153.1315919564315,1.2093279623805127,0.1281231904596946,9.572781461780261e-23,1.2942874744635471e-20,LSvsNL,up
ARTN,1.7923385696569714,1.6046800507576655,0.76278907430591,0.0017064236994988379,0.005830174134839192,LSvsNL,up
KIF2C,356.6489966722564,1.1822016220165963,0.17919967582782065,2.7010579661559685e-12,6.998895214298728e-11,LSvsNL,up
BEST4,65.3975842539801,-1.0385815048703295,0.2611143969568512,3.1933371837924348e-6,2.2610666941683296e-5,LSvsNL,down
HPDL,92.1264359010053,1.4516120755443236,0.2708675438482145,1.4415818715735181e-9,2.1943409409139993e-8,LSvsNL,up
LINC01398,1.9199458842175552,3.110208983413528,0.8398194878705769,4.848459469176791e-6,3.261593111846369e-5,LSvsNL,up
STIL,88.53842264820346,1.076807610120726,0.18704461166581102,4.804318581521996e-10,7.995476212066341e-9,LSvsNL,up
AGBL4,20.142253800671092,-3.0707322682508993,0.39031016774901595,1.693514914183176e-20,1.7113909049439985e-18,LSvsNL,down
TTC39A,782.1699741675633,1.6684400346207355,0.1898122931755738,7.831047873406641e-20,7.12233804086334e-18,LSvsNL,up
RAB3B,367.06392218115127,-3.1813642594580727,0.2329445965702964,1.2928418529242107e-53,2.612977033854599e-50,LSvsNL,down
LINC02784,5.890301787897125,-1.1388483857208584,0.4716250302620076,4.466854102444389e-4,0.0018027973402144097,LSvsNL,down
BSND,2.243477767307092,4.940768067276064,1.7389698633632131,5.622242326827731e-4,0.0022053037240696294,LSvsNL,up
PCSK9,126.80463942444318,1.574047432389185,0.2591456592803367,5.1894644941964844e-12,1.2687682681375544e-10,LSvsNL,up
CYP2J2,729.6071696332557,-1.7291378089519902,0.17714830572636583,2.0673408470946573e-26,4.372666280075793e-24,LSvsNL,down
FPGT-TNNI3K,34.60533235846256,-1.0899288923669566,0.2380833284085237,7.626664623834458e-8,7.90929472677017e-7,LSvsNL,down
IFI44,182.060834624052,1.3125463909686694,0.25925295684359095,6.472905928070396e-9,8.392170978731327e-8,LSvsNL,up
LINC01725,144.61418547274644,-1.5417756456893412,0.1697249668438255,1.6966568173163842e-22,2.2203012594953256e-20,LSvsNL,down
GBP5,59.080656374001606,1.4385158037486085,0.3861450463445182,4.4163771513603624e-7,3.7662400554732765e-6,LSvsNL,up
GBP6,212.25276512592228,1.3617735124341435,0.2975957849695784,3.0568131325141675e-8,3.447205882233894e-7,LSvsNL,up
BCAR3,376.4058834475008,-1.38847860972191,0.1661059182721275,1.7893511385011585e-19,1.557334794705075e-17,LSvsNL,down
F3,1786.0680077964157,-1.7629931997072976,0.18312911117331301,2.5805753185582166e-26,5.33416648233795e-24,LSvsNL,down
RNPC3,2136.753053432573,-1.0057364596730478,0.12812315477848643,2.4691534370038578e-17,1.6040678935392917e-15,LSvsNL,down
GSTM2,449.59511262530236,-1.230264118146035,0.16664116678326696,6.304366851829142e-16,3.228297580947594e-14,LSvsNL,down
CHI3L2,2165.421811454952,1.6430304222020038,0.405949296739609,1.154244369169213e-7,1.1491902066331683e-6,LSvsNL,up
PIFO,66.17114165253507,-1.0903145174203566,0.27600165572163843,5.370946326393322e-7,4.5063294238624295e-6,LSvsNL,down
C1orf162,204.01686497061016,1.0008896895968873,0.2051540943696993,2.9090172986506474e-8,3.2927831152741307e-7,LSvsNL,up
TMIGD3,17.789157058487525,1.5692693899805576,0.4296965384675398,1.530245720559012e-6,1.1521179493778322e-5,LSvsNL,up
WNT2B,802.5538509380896,-1.0605828084337838,0.1138064437247923,2.568719558092466e-22,3.313830408631345e-20,LSvsNL,down
TAFA3,10.621988236950973,2.152087094063449,0.37095588632837495,2.7496743757032106e-11,5.911863889188135e-10,LSvsNL,up
SYT6,23.06838906817044,1.1533264156675676,0.46864079852588897,1.934681295966368e-4,8.708699028366305e-4,LSvsNL,up
NGF,18.35254395150517,1.1328935580013784,0.3905493472858927,4.0346731236383256e-5,2.1623660612546004e-4,LSvsNL,up
NHLH2,115.24212169248511,-1.2532002252867027,0.2300048693287803,1.5359991022879108e-10,2.868565058584918e-9,LSvsNL,down
LINC01649,3.6312045103042836,-1.345361085009584,0.560692457363082,3.0894488648709967e-4,0.0013050876649327316,LSvsNL,down
LINC01762,23.72679813451079,-1.696998252211801,0.22046580023248455,2.1812949883217185e-17,1.4428274850026203e-15,LSvsNL,down
LINC02868,2.6833602330302626,2.5803948288258423,0.5676443133145341,6.524288198013826e-8,6.847383898616082e-7,LSvsNL,up
CD2,126.17913613319693,1.3061063631655585,0.33911246182422244,8.175354806968694e-7,6.5424418802798314e-6,LSvsNL,up
HSD3B1,348.8156913157767,1.3765767443574024,1.01787825823283,4.945019247093494e-5,2.594459189634573e-4,LSvsNL,up
HMGCS2,312.03919150666064,-1.1039971443647765,0.2945571319557024,1.2833260950082018e-6,9.795930200671083e-6,LSvsNL,down
PDZK1,70.10290057703679,-1.168684254877454,0.4365343705327774,2.975312378366351e-5,1.6550743780576122e-4,LSvsNL,down
GJA5,35.73143942979343,1.488299765660466,0.46896219779517945,5.970808844144337e-6,3.918074057539159e-5,LSvsNL,up
FCGR1A,9.822363753022966,2.5842507070336644,0.6175724029926618,1.2665241054329737e-8,1.5441068014628547e-7,LSvsNL,up
U4,30.589900103108597,-1.0498650722075566,0.1652828265803732,4.511367480327519e-12,1.1119681944528027e-10,LSvsNL,down
RORC,574.6564224632375,-1.1218921791524121,0.1796712217889609,2.4211430582620355e-12,6.373457630938702e-11,LSvsNL,down
FLG2,54913.6004461509,-1.1355871670508293,0.1540591320947852,3.260779299989997e-16,1.771052314626521e-14,LSvsNL,down
