"","gene_name","tissue type (LS/NL/HC)","individual","SCORAD","EASI","quarter","anatomic region","gender","unexplained"
"1","LINC02593",0.216294312276404,0.0765061354353411,0.00284450376607446,0.00657104029440739,3.47676673309115e-10,0,0.0828110834067873,0.614972924473309
"2","ISG15",0.251759553754924,0.24521811482345,0.00566545736231893,0.00722583845002441,0.0283918829208385,0,0.00530448385133514,0.456434668837109
"3","TNFRSF4",0.341885747171589,0.0319015920125641,0.00530964362963504,0.000443827789378856,0,0.0121850466418782,0.0207078064298676,0.587566336325087
"4","SCNN1D",0.156939442959263,0.12798262278815,0.000908124629989714,0.000357220447269921,0,0.0410716774381307,2.46949996133183e-09,0.672740909267697
"5","GABRD",0.198158974742301,0.0554545404805911,0.0156409016718904,0.00164240899098121,8.44901183589664e-10,0,0,0.729103173269335
"6","PLCH2",0.43357036454401,0.00515077437569545,0.0176568955275618,0.00653987518402842,0.0669337709151748,0,0.0214986747843307,0.448649644669198
"7","TNFRSF9",0.301582218157225,0.0578130936626097,0.00716848721907623,0.0134771663542441,0,0.0137660409682393,0.00745768053783339,0.598735313100772
"8","ENO1",0.239180395959616,0.107242598705745,0.0151379773980355,0.00151890494886047,0,0.0335480413395396,0,0.603372081648204
"9","ANGPTL7",0,0.0688945426865929,0.00168111606925032,0.00589266700539148,0.0447489607438289,0,0,0.878782713494936
"10","AGMAT",0.143735122031812,0,0.00467151006838111,0.000448512821165765,0,0,0.023253107263099,0.827891747815542
"11","FBLIM1",0.141099491263643,0.146019394566696,0.0197408708597853,0.0172239644595231,0.0120167236121874,0.010553598727919,0.0969185958141994,0.556427360696047
"12","HSPB7",0.210733977122443,0.105854326661858,0.0275330056916172,0.00164747030181023,0.00140240434006976,0.151923989408363,5.38649853141562e-10,0.500904825935189
"13","MST1L",0.297436876373085,0.281318620187278,0.0137298482679251,0.005575888371988,0.00626097413566518,3.57117567834897e-10,6.20688799727819e-10,0.395677791686253
"14","PADI1",0,0.0967476185434595,0.000451656036346794,0.00129854875533791,0.011813042784978,0.120077189432688,0,0.76961194444719
"15","PADI4",0.0302224784616422,0.0511523883580386,0.0236065418351934,0.00305263656133861,1.02477479643171e-08,0.0913732886775504,2.1600129276936e-10,0.800592655642488
"16","PLA2G2A",0.150098824127926,0.293859847577855,0.0198797527552097,0.00135864017715692,1.58598718276387e-10,0.0482696369540238,0.0386859099303657,0.447847388318864
"17","PLA2G2F",0.205236658542799,0.266060666038562,0.0011967076678245,0.0382685846500721,0.0186427982514457,0,0.0380060619779555,0.432588522871342
"18","UBXN10",0.366371574046977,0,0.0146069960048776,0.0023085911852922,0.00387083056228227,0,0,0.612842008200571
"19","FAM43B",0.298032814972449,0.0544885919083229,0.0144518063686142,0.0094063035005693,0,0,7.00344454859859e-10,0.6236204825497
"20","ALPL",0.411839959835631,0,0.00780254499195636,0.00742123247765516,0.0116778123423153,3.06257541300325e-10,0,0.561258450046184
"21","C1QA",0.0756434383617307,0.254424176195796,0.000658782817228436,0.00315086120886166,0.0433757116348717,0.00994059356646584,0,0.612806436215046
"22","C1QC",0.164637002799981,0.263505480741689,0.00891103856167444,0.00148118585230764,0.0317140730777374,0.0186003986791599,1.84824289899017e-09,0.511150818439208
"23","C1QB",0.192870031197747,0.319760681201635,0.0111110500979634,0.000426117206624801,0.0165183678239275,0.0028926031761517,6.36869489607577e-10,0.456421148659082
"24","EPHB2",0.298827106506492,0.0860647677805909,0.00570759482549886,0.00327904435526494,3.23395787280318e-06,0,1.34770190097583e-10,0.606118252439511
"25","RHCE",1.17629236992033e-10,0.0722858929622749,0.00192287239473929,0.0162012590798625,0.0051508651337915,0,0,0.904439110311703
"26","AUNIP",0.20205398654702,0,0.00629975462827487,0.00781148250532857,0,0,5.62241208023528e-09,0.783834770696965
"27","SH3BGRL3",0.0850213110889307,0.140226498480157,0.0107409992913726,0.000106325957882837,0,0,0,0.763904865181657
"28","CD52",0.108267513857945,0.0589475732659551,2.69048052288761e-05,0.000204017352045466,0,0.0931963736449297,0,0.739357617073896
"29","SFN",0.0669649375821957,0.265066393124201,0.0582830248156544,0.000436135026667454,0,0.100019438462229,8.49557803864245e-06,0.509221575411014
"30","CD164L2",0.0672017752080149,0.233957853043671,0.021915825660155,0.00719976699850387,0.026891596869668,0.0359253153340542,0,0.606907866885933
"31","GPR3",0.0881094041414081,0,0.00226910328485721,0.0270715528237569,0,0,0,0.882549939749978
"32","IFI6",0.263646170558216,0.094575360648385,0.0172099108925096,0.00287273510732567,0.0188454927774019,0,0.0949095607928002,0.507940769223362
"33","THEMIS2",0.169789306267544,0.155954466889031,0.0013147102234184,0.0112968516345018,0.041569824480139,0,0.0215993602937266,0.59847548021164
"34","RCC1",0.0639747504395902,0.0305678216482363,0.00090272829727993,0.000440446329438239,1.5570262114381e-08,0.0495849978935384,1.166880618771e-09,0.854529238654774
"35","SNORA73B",0.023148013441993,0,0.00624685875480213,0.0220176485307226,0,0,7.61994000328981e-10,0.948587478510488
"36","RAB42",0.104441075426166,0,0.0292836713842944,0.0187852191215265,0.0144366136654052,0.168662486465419,1.91271489511789e-09,0.664390932024474
"37","FAM167B",0.0521923930755807,0.0867975230455111,0.0140543666077489,0.00405123275706276,0,0,0,0.842904484514097
"38","LCK",0.28243583028038,0.0373881940773063,1.30080534911294e-05,3.58428495769072e-07,1.59992036598998e-10,0.218129873881708,0,0.462032735118627
"39","CSMD2",0.021229162907926,0.0675257984792045,0.00298768810961735,0.00144912804608663,0.00546380262161498,1.43335879845751e-10,0,0.901344419692215
"40","GJA4",0.235357462399881,0.179495096461631,0.00455921527288461,0.0164974907369095,0.0472892543690152,0.0382775070834997,0,0.478523973676179
"41","CLSPN",0.0560768903990929,0.142876943520142,0.0235009924061106,0.0193222706843938,0.0120800287798421,0,6.63399784618337e-09,0.746142867576421
"42","ZC3H12A",0.181601360540631,0.180031854437918,0.00848880348785251,0.00229567117836983,0,0,0,0.627582310355229
"43","RIMS3",0.0689282468003451,0.363378485884969,0.0162301193398637,0.00626167701314825,0.00541716355325572,0.0431097733147585,0,0.49667453409366
"44","CCDC30",0.460715619810898,0.0902349217190434,0.0282527269308552,0.00160226109761723,0,0,0,0.419194470441587
"45","CFAP57",0.344739575943613,0.0968695949721276,0.00990064070168608,0.00465288993968763,6.408730920591e-11,8.96149225124792e-10,5.86155936905195e-10,0.543837296896493
"46","CDC20",0.0778785783702272,0.031653144377921,0.0381508494206647,0.00875943110872861,0.0122059621505644,0.22972320954082,0,0.601628825031074
"47","KIF2C",0.0678265656507582,0,0.0359117419013555,0.00751332262459664,0.0333778754167508,0.0229437632609787,0,0.83242673114556
"48","BEST4",0.429446892401985,0.0860163505887784,0.0221782728291582,0.000598337849224444,0.00465039390566224,0,6.52810583066314e-10,0.457109751772381
"49","HPDL",0.0582606898105068,0.151885658223553,0.000182989063558937,0.000365659567725423,0.068640874940186,0.224569650908585,1.89297569885075e-09,0.496094475592909
"50","FAAHP1",0.306747388699641,0,0.0444548807368663,0.00094070392708791,0,8.60647073900996e-11,0.0790184988118959,0.568838527738444
"51","TUBAP8",0.218290004062604,0.0439626961695197,0.0378298963138173,0.00861573392051536,4.92974396285766e-08,0,0,0.691301620236104
"52","TUBAP9",0.330924157178562,0.0148624500668764,0.0488581003614001,0.0319404760884819,0.0100517953692223,0,1.74602421267564e-10,0.563363020760855
"53","PDZK1IP1",0.000686197849161644,0.242879776687646,0.00022132340056501,0.0107691922348783,0.0171446162888696,2.60193170929142e-08,0,0.728298867519562
"54","STIL",0,0,0.0123706680131818,0.00732789853389713,0,0,0,0.980301433452921
"55","SKINT1L",0.179380860552841,0.133838257935629,0.0255724779890153,0.014267575273961,0,0,0,0.646940828248554
"56","AGBL4",0.592517113700717,0.114241789576647,0.0301212020579588,0.0021312575947013,0.00177409611935764,0,0,0.259214540950618
"57","ELAVL4",0.0359480303888357,0.00339169706550848,0.0243328942479,3.23885601791606e-05,0.0137462291775609,0,0,0.922548760560016
"58","TTC39A",0.329983445816879,0.137757432459434,0.00157157939587403,0.0169638584709661,0,0.0024591431069949,7.97830023767863e-10,0.511264539952022
"59","RAB3B",0.596834973772682,0.132597688178333,0.0382056644015024,0.00700330661464184,0,0,1.22359776708005e-09,0.225358365809243
"60","ZYG11A",0.0356837135188646,0.0960293322955194,0.00062871728781281,0.0019209517562415,0.0327530502450447,8.42956086892406e-10,0,0.832984234053561
"61","LRP8",0.0008460276382365,0.158972371383916,0.0240956443143143,0.00421466862311735,0.00153909071838089,4.51608164769388e-09,1.22458861082248e-09,0.810332191581365
